yelp_alias,title,parent_aliases,naics6,naics3,naics_title,urgency,ticket_band,maturity
driedfruit,Dried Fruit,['gourmet'],,,,0.5,mid,established
driveintheater,Drive-In Theater,['movietheaters'],,,,0.5,mid,established
drivethrubars,Drive-Thru Bars,['bars'],,,,0.5,mid,established
driving_schools,Driving Schools,['specialtyschools'],,,,0.5,mid,established
drones,Drones,['shopping'],,,,0.5,mid,established
drugstores,Drugstores,['shopping'],,,,0.5,mid,established
dryclean,Dry Cleaning,['laundryservices'],,,,0.5,mid,established
drycleaninglaundry,Dry Cleaning & Laundry,['localservices'],,,,0.5,mid,established
drywall,Drywall Installation & Repair,['homeservices'],,,,0.5,mid,established
duilawyers,DUI Law,['lawyers'],,,,0.5,mid,established
duischools,DUI Schools,['specialtyschools'],,,,0.5,mid,established
dumplings,Dumplings,['restaurants'],,,,0.5,mid,established
dumpsterrental,Dumpster Rental,['junkremovalandhauling'],,,,0.5,mid,established
